Player,Team,Position,Salary,Years,Total value,Average Annual
"Ohtani, Shohei",Dodgers,DH/RHP,"$70,000,000",10,"$700,000,000","$70,000,000"
"Scherzer, Max",Rangers,RHP,"$43,333,334",3,"$130,000,000","$43,333,333.33"
"Verlander, Justin",Astros,RHP,"$43,333,333",2,"$86,666,666","$43,333,333"
"deGrom, Jacob",Rangers,RHP,"$40,000,000",5,"$185,000,000","$37,000,000"
"Judge, Aaron",Yankees,OF,"$40,000,000",9,"$360,000,000","$40,000,000"
"Rendon, Anthony",Angels,3,"$38,571,429",7,"$245,000,000","$35,000,000"
"Trout, Mike",Angels,OF,"$37,116,667",12,"$426,500,000","$35,541,666.67"
"Cole, Gerrit",Yankees,RHP,"$36,000,000",9,"$324,000,000","$36,000,000"
"Seager, Corey",Rangers,SS,"$35,000,000",10,"$325,000,000","$32,500,000"
"Corbin, Patrick",Nationals,LHP,"$34,556,200",6,"$140,000,000","$23,333,333.33"
"Correa, Carlos",Twins,SS,"$33,333,333",6,"$200,000,000","$33,333,333"
"Strasburg, Stephen",Nationals,RHP,"$32,811,200",7,"$245,000,000","$35,000,000"
"Arenado, Nolan",Cardinals,3,"$32,675,167",8,"$260,000,000","$32,500,000"
"Lindor, Francisco",Mets,SS,"$32,477,639",10,"$341,000,000","$34,100,000"
"Snell, Blake",Giants,LHP,"$32,000,000",2,"$62,000,000","$31,000,000"
"Stanton, Giancarlo",Yankees,DH,"$32,000,000",13,"$325,000,000","$25,000,000"
"Soto, Juan",Yankees,OF,"$31,000,000",,$0,$0
"Bregman, Alex",Astros,3,"$30,500,000",5,"$100,000,000","$20,000,000"
"Altuve, Jose",Astros,2,"$29,000,000",7,"$163,500,000","$23,357,142.86"
"Bryant, Kris",Rockies,1,"$28,000,000",7,"$182,000,000","$26,000,000"
"Rodon, Carlos",Yankees,LHP,"$27,833,333",6,"$162,000,000","$27,000,000"
"Harper, Bryce",Phillies,1,"$27,538,462",13,"$330,000,000","$25,384,615.38"
"Bellinger, Cody",Cubs,OF,"$27,500,000",3,"$80,000,000","$26,666,667"
"Turner, Trea",Phillies,SS,"$27,272,727",11,"$300,000,000","$27,272,727"
"Devers, Rafael",Red Sox,3,"$27,066,581",10,"$313,500,000","$31,350,000"
"Betts, Mookie",Dodgers,SS,"$26,158,692",12,"$365,000,000","$30,416,666.67"
